tpep_pickup_datetime,PULocationID,fare_amount,trip_distance
2009-01-01 00:19:34,138,52.7,10.77
2025-01-31 22:22:53,68,7.9,0.65
2025-01-31 22:33:59,48,10.0,1.68
2025-01-31 23:01:44,48,5.8,0.8
2025-01-31 23:07:03,48,12.1,1.95
2025-01-31 23:22:00,249,10.0,1.93
2025-01-31 23:25:39,186,10.7,1.5
2025-01-31 23:30:43,79,24.0,4.77
2025-01-31 23:34:21,50,40.1,7.69
2025-01-31 23:39:27,68,21.2,4.58
2025-01-31 23:41:36,90,13.5,2.02
2025-01-31 23:51:25,79,5.1,0.67
2025-01-31 23:52:52,148,8.6,1.33
2025-01-31 23:54:58,132,63.9,15.69
2025-01-31 23:55:18,148,10.0,1.08
2025-01-31 23:55:31,158,12.8,2.18
2025-01-31 23:56:02,158,9.3,0.85
2025-01-31 23:56:31,246,10.0,1.45
2025-01-31 23:56:40,144,12.8,1.91
2025-01-31 23:56:42,79,31.0,7.1
2025-01-31 23:56:59,237,6.5,0.79
2025-01-31 23:57:01,79,21.2,3.81
2025-01-31 23:57:04,140,16.3,2.89
2025-01-31 23:57:08,234,29.6,5.06
2025-01-31 23:57:17,125,10.0,1.12
2025-01-31 23:57:21,114,10.0,1.0
2025-01-31 23:57:28,132,70.0,17.08
2025-01-31 23:57:52,249,12.1,1.43
2025-01-31 23:58:13,114,10.7,0.64
2025-01-31 23:59:03,132,70.0,18.64
2025-01-31 23:59:03,79,11.4,1.63
2025-02-01 00:00:00,144,29.5,4.02
2025-02-01 00:00:00,79,15.31,2.47
2025-02-01 00:00:00,137,13.02,2.96
2025-02-01 00:00:01,50,7.9,1.2
2025-02-01 00:00:01,100,15.6,2.67
2025-02-01 00:00:01,70,57.6,12.13
2025-02-01 00:00:01,249,8.6,1.24
2025-02-01 00:00:01,132,57.6,15.19
2025-02-01 00:00:01,114,10.7,1.62
2025-02-01 00:00:02,142,21.9,4.4
2025-02-01 00:00:02,107,13.06,1.94
2025-02-01 00:00:02,79,19.8,2.28
2025-02-01 00:00:02,249,9.3,1.03
2025-02-01 00:00:03,79,9.11,0.87
2025-02-01 00:00:03,231,9.82,0.89
2025-02-01 00:00:04,233,7.9,1.0
2025-02-01 00:00:05,249,9.73,1.37
2025-02-01 00:00:05,249,10.7,1.7
2025-02-01 00:00:05,114,7.6,0.7
2025-02-01 00:00:05,230,15.6,3.05
2025-02-01 00:00:06,137,15.03,3.11
2025-02-01 00:00:06,164,11.4,1.8
2025-02-01 00:00:06,256,33.61,7.99
2025-02-01 00:00:08,148,18.4,3.43
2025-02-01 00:00:08,148,26.1,4.59
2025-02-01 00:00:08,114,18.4,2.91
2025-02-01 00:00:08,144,12.59,1.15
2025-02-01 00:00:08,107,14.9,1.88
2025-02-01 00:00:09,75,7.2,1.11
2025-02-01 00:00:10,263,12.8,2.4
2025-02-01 00:00:10,68,19.1,3.16
2025-02-01 00:00:11,148,9.3,1.05
2025-02-01 00:00:11,239,11.92,1.96
2025-02-01 00:00:11,234,31.7,6.42
2025-02-01 00:00:11,48,20.8,4.91
2025-02-01 00:00:12,246,5.66,0.8
2025-02-01 00:00:14,87,17.05,2.6
2025-02-01 00:00:15,230,54.1,11.1
2025-02-01 00:00:16,75,5.8,0.62
2025-02-01 00:00:17,113,8.47,0.85
2025-02-01 00:00:17,234,10.7,1.77
2025-02-01 00:00:17,79,11.4,0.94
2025-02-01 00:00:18,186,8.6,0.25
